ID_Polluant;Date;ID_Station;Taux_Relevé
NO2;02/10/2021 15:00;4;5908
NO2;03/10/2021 15:00;4;234,65
NO2;03/10/2021 18:00;4;41,57
O3;02/10/2021 15:00;2;110,8
NO2;07/10/2021 12:00;4;34,6
NO2;07/10/2021 12:00;6;23,89
NO2;08/10/2021 12:00;6;124,35
NO2;09/10/2021 12:00;6;8098
PM10;01/10/2021 12:00;1;203,4
CO;12/10/2021 12:00;3;8987
PM10;01/10/2021 18:00;1;100,5
PM10;02/10/2021 15:00;1;23,4
PM10;02/10/2021 15:00;6;4789,67
PM10;03/10/2021 18:00;6;145,7
CO;15/10/2021 00:00;5;5678,34
PM10;06/10/2021 12:00;1;7
PM10;06/10/2021 18:00;1;95,8
PM10;07/10/2021 15:00;6;2340,78
