ID_Polluant;Date;ID_Capteur;Localisation;Taux_Relevé
NO2;02/10/2021 15:00;Cairs21;48.830952, 2.331280;5,908
NO2;03/10/2021 15:00;Cairs35;48.827336, 2.327160;0,23465
NO2;03/10/2021 18:00;Cairs44;48.831178, 2.318920; 
O3;02/10/2021 15:00;Cairs22;48.837013, 2.239375;0,087
NO2;07/10/2021 12:00;Cairs89;48.825980, 2.343639;0,0346
NO2;07/10/2021 12:00;Cairs123;48.831304, 2.320748;0,02389
NO2;08/10/2021 12:00;C;48.826501, 2.345124;0,12435
NO2;09/10/2021 12:00;Cairs4;48.821372, 2.345562;8,098
PM10;01/10/2021 12:00;Cairs19;48.844595, 2.234076;0,1
CO;12/10/2021 12:00;Cairs45;48.883668, 2.278408; 
PM10;02/10/2021 15:00;Cairs32;48.833380, 2.359467;4,78967
PM10;06/10/2021 12:00;Cairs90;48.830329, 2.360883;0,001
